"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2019","950.65","952.45","966.70","948.50","","-0.17%"
"09/12/2019","952.25","948.20","962.95","944.65","","0.43%"
"09/11/2019","948.15","934.55","948.30","933.95","","1.42%"
"09/10/2019","934.85","946.20","947.65","930.95","","-1.19%"
"09/09/2019","946.10","950.20","964.65","945.40","","-0.46%"
"09/08/2019","950.45","953.85","960.10","947.40","","-0.30%"
"09/06/2019","953.30","963.45","967.40","929.65","","-0.92%"
"09/05/2019","962.20","991.70","1,000.80","946.85","","-2.94%"
"09/04/2019","991.30","964.75","994.20","959.30","","2.78%"
"09/03/2019","964.50","933.20","969.95","930.05","","3.35%"
"09/02/2019","933.25","940.10","942.30","928.10","","-0.77%"
"09/01/2019","940.45","936.50","942.30","936.00","","0.41%"
"08/30/2019","936.60","920.75","944.15","915.95","","1.72%"
"08/29/2019","920.75","901.70","938.90","897.75","","2.10%"
"08/28/2019","901.80","870.45","911.85","868.40","","3.62%"
"08/27/2019","870.30","858.95","871.70","857.60","","1.34%"
"08/26/2019","858.75","864.25","869.30","855.30","","-0.62%"
"08/25/2019","864.10","860.95","864.75","859.35","","0.45%"
"08/23/2019","860.25","860.90","872.15","852.50","","-0.06%"
"08/22/2019","860.80","856.15","863.40","848.15","","0.57%"
"08/21/2019","855.95","850.10","859.05","842.60","","0.68%"
"08/20/2019","850.15","853.00","858.50","847.15","","-0.35%"
"08/19/2019","853.10","851.80","860.80","845.40","","0.14%"
"08/18/2019","851.90","851.35","853.35","850.90","","0.06%"
"08/16/2019","851.40","842.75","853.25","835.25","","1.03%"
"08/15/2019","842.75","848.55","850.10","835.85","","-0.70%"
"08/14/2019","848.65","857.60","858.40","846.10","","-1.07%"
"08/13/2019","857.80","862.05","870.10","839.95","","-0.50%"
"08/12/2019","862.15","864.60","865.90","856.45","","-0.27%"
"08/11/2019","864.50","864.45","865.10","863.30","","0.02%"
"08/09/2019","864.35","871.10","871.85","861.40","","-0.73%"
"08/08/2019","870.70","868.90","873.20","854.75","","0.21%"
"08/07/2019","868.85","855.40","873.40","849.60","","1.55%"
"08/06/2019","855.55","860.50","861.05","847.20","","-0.58%"
"08/05/2019","860.50","848.85","863.40","845.70","","1.36%"
"08/04/2019","848.95","848.25","851.60","848.00","","0.09%"
"08/02/2019","848.20","856.70","861.70","845.30","","-1.01%"
"08/01/2019","856.85","868.55","868.60","845.70","","-1.35%"
"07/31/2019","868.60","879.00","883.00","866.10","","-1.16%"
"07/30/2019","878.80","883.25","886.50","871.75","","-0.49%"
"07/29/2019","883.10","870.25","886.70","868.25","","1.49%"
"07/28/2019","870.10","868.80","871.00","868.80","","0.17%"
"07/26/2019","868.60","871.45","874.25","863.55","","-0.31%"
"07/25/2019","871.30","881.05","889.60","870.10","","-1.10%"
"07/24/2019","880.95","859.80","882.90","859.10","","2.45%"
"07/23/2019","859.90","851.00","862.85","847.40","","1.06%"
"07/22/2019","850.90","850.90","857.00","849.65","","0.02%"
"07/21/2019","850.70","849.35","851.60","848.60","","0.15%"
"07/19/2019","849.45","854.40","865.40","849.35","","-0.57%"
"07/18/2019","854.30","849.05","859.50","847.10","","0.64%"
"07/17/2019","848.85","844.30","854.55","838.20","","0.55%"
"07/16/2019","844.20","845.60","855.30","840.65","","-0.18%"
"07/15/2019","845.70","834.55","850.60","832.40","","1.32%"
"07/14/2019","834.70","834.15","835.00","832.90","","0.05%"
"07/12/2019","834.25","827.60","835.00","820.65","","0.83%"
"07/11/2019","827.40","831.35","836.05","825.70","","-0.48%"
"07/10/2019","831.40","813.50","832.65","811.35","","2.19%"
"07/09/2019","813.60","816.30","816.55","809.35","","-0.37%"
"07/08/2019","816.60","811.95","823.80","811.15","","0.52%"
"07/07/2019","812.35","813.70","815.90","811.90","","-0.18%"
"07/05/2019","813.80","840.00","842.70","808.35","","-3.16%"
"07/04/2019","840.35","843.90","845.35","837.05","","-0.41%"
"07/03/2019","843.85","837.85","847.85","832.20","","0.73%"
"07/02/2019","837.75","835.90","843.25","828.35","","0.24%"
"07/01/2019","835.75","834.30","851.60","834.20","","0.16%"
"06/30/2019","834.40","839.50","841.30","833.70","","-0.62%"
"06/28/2019","839.60","822.15","844.90","817.50","","2.15%"
"06/27/2019","821.95","821.30","822.25","811.80","","0.06%"
"06/26/2019","821.45","811.60","824.15","808.35","","1.26%"
"06/25/2019","811.25","820.30","824.70","810.50","","-1.07%"
"06/24/2019","820.05","817.95","821.05","812.05","","0.26%"
"06/23/2019","817.95","814.95","818.05","813.50","","1.05%"
"06/21/2019","809.45","810.20","814.50","798.50","","-0.10%"
"06/20/2019","810.25","812.75","823.85","805.10","","-0.28%"
"06/19/2019","812.55","803.40","813.10","797.25","","1.14%"
"06/18/2019","803.40","792.60","805.20","790.25","","1.36%"
"06/17/2019","792.65","801.75","803.30","791.30","","-1.13%"
"06/16/2019","801.70","803.50","805.70","801.00","","-0.24%"
"06/14/2019","803.60","812.35","818.75","801.95","","-1.12%"
"06/13/2019","812.70","811.30","814.80","805.55","","0.17%"
