Date,Silver_Price,Gold_Price,Copper_Price,Palladium_Price,Platinum_Price,IRL_Canada,IRL_Chile,IRL_Mexico,IRL_South Africa,IRL_United States,IRS_Canada,IRS_Chile,IRS_China (People's Republic of),IRS_Mexico,IRS_South Africa,IRS_United States,Oil_Price,US_CPI,Year,Month,Day
2021-06-02,28.204,1909.9,4.595,2860.5,1196.7,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.49285714285715,271.75823809523814,2021,6,2
2021-06-03,27.477,1873.3,4.4665,2842.0,1166.6,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.51571428571428,271.8204761904762,2021,6,3
2021-06-04,27.896,1892.0,4.5315,2845.0,1168.5,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.53857142857143,271.8827142857143,2021,6,4
2021-06-07,28.018,1898.8,4.5295,2834.5,1178.8,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.56142857142856,271.9449523809524,2021,6,7
2021-06-08,27.731,1894.4,4.559,2810.0,1166.4,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.58428571428571,272.0071904761905,2021,6,8
2021-06-09,28.002,1895.5,4.5345,2783.5,1155.7,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.60714285714286,272.0694285714286,2021,6,9
2021-06-10,28.031,1896.4,4.489,2773.5,1150.1,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.63,272.13166666666666,2021,6,10
2021-06-11,28.146,1879.6,4.5415,2777.5,1155.0,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.65285714285714,272.1939047619048,2021,6,11
2021-06-14,28.039,1865.9,4.531,2754.5,1169.2,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.67571428571429,272.2561428571429,2021,6,14
2021-06-15,27.693,1856.4,4.3375,2767.25,1152.7,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.69857142857143,272.31838095238095,2021,6,15
2021-06-16,27.812,1861.4,4.3885,2807.75,1145.9,1.23544444444444,4.80591091466667,6.73676133333333,9.60518037518038,1.32333333333333,0.212405722333333,1.37937229437229,4.35,4.77666666666667,3.81168831168831,0.1,73.72142857142858,272.38061904761906,2021,6,16
